Code,Name,URL,Location,Address,Latitude,Longitude,Star Rating,Rating Name_x,Review Count_x,Downtown Distance,Price per Night,Average Price,Check-in Time,Check-out Time,Cancellation Policy,Pets Policy,Payment Methods,Payment Type Number,General Facilities,Facility Count,Room Type Number,Review Score,Rating Name_y,Review Count_y,Cleanliness Score,Comfort Score,Location Score,Facilities Score,Staff Score,Max Occupancy
1,Moselle Armenia Jermuk,https://www.booking.com/hotel/am/armenia-health-spa.html?label=gen173nr-1FCAEoggI46AdIM1gEaAeIAQGYAQm4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvTPx70GwAIB0gIkOGVjZGEzYWUtNzk1OC00NzU1LTlmYjktM2NmNTQzNjVjZDc12AIG4AIB&sid=13c6bd81d8e535df8a36f350cad09de7&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-05&checkout=2025-05-06&dest_id=-2324889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=dae688c2f2ff080e&srepoch=1743622032&all_sr_blocks=107144701_406726520_2_1_0&highlighted_blocks=107144701_406726520_2_1_0&matching_block_id=107144701_406726520_2_1_0&sr_pri_blocks=107144701_406726520_2_1_0__3900000&from=searchresults,"3701 Jermuk,Armenia","Myasnikyan Street 2,",39.83939865,45.66528973,9.9,Exceptionalexceptional,17.0,0.047,"100, 151, 74, 100, 100, 151, 74, 100, 100, 151, 74, 100, 125, 176, 100, 125, 161, 212, 227, 278",133.95,From 1:00 PM,Until 12:00 PM,"Free cancellationbefore May 2, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, JCB, Maestro, Discover, UnionPay credit card, Cash",8,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Linens, Wardrobe or closet, Alarm clock, Inner courtyard view, City view, Landmark view, Mountain view, Garden view, View, Terrace, Coffee machine, Electric kettle, Refrigerator, Socket near the bed, Drying rack for clothing, Clothes rack, Cooking classAdditional charge, Tour or class about local cultureAdditional charge, Themed dinners, Walking toursAdditional charge, Evening entertainment, Kids' clubAdditional charge, Entertainment staff, HikingAdditional charge, Pool table, Game room, SkiingOff-site, FishingAdditional chargeOff-site, Desk, Flat-screen TV, Cable channels, Satellite channels, Telephone, TV, Coffee house on site, Fruit, Wine/ChampagneAdditional charge, Kid-friendly buffet, Special diet meals (on request), Snack bar, Bar, Minibar, Restaurant, Tea/Coffee maker, Electric vehicle charging station, Accessible parking, Invoice provided, Lockers, Concierge, Baggage storage, Tour desk, Express check-in/out, 24-hour front desk, Indoor play area, Board games/Puzzles, Board games/puzzles, Daily housekeeping, Ironing serviceAdditional charge, LaundryAdditional charge, Fax/Photocopying, Business center, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, 24-hour security, Safe, Shuttle serviceAdditional charge, Carbon monoxide detector, Grocery deliveriesAdditional charge, Convenience store on site, Shared lounge/TV area, Hypoallergenic, Air conditioning, Smoke-free property, Hypoallergenic room available, Wake-up service, Heating, Soundproof, Private entrance, Laptop safe, Packed lunches, Carpeted, Soundproof rooms, Elevator, Fan, Family rooms, Ironing facilities, Facilities for disabled guests, Airport shuttleAdditional charge, Non-smoking rooms, Iron, Wake-up service/Alarm clock, Room service, Bathroom emergency cord, Lowered sink, Raised toilet, Toilet with grab rails, Wheelchair accessible, Upper floors accessible by stairs only, Upper floors accessible by elevator, Opening times, Open all year, Heated pool, Swimming pool toys, Pool/Beach towels, Beach chairs/Loungers, Beach chairs/Loungers, English, Russian",121,5,9.9,Exceptionalexceptional,17.0,9.9,10.0,10.0,9.9,10.0,36
2,Grand Resort Jermuk,https://www.booking.com/hotel/am/hyatt-place-jermuk.html?label=gen173nr-1FCAEoggI46AdIM1gEaAeIAQGYAQm4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvTPx70GwAIB0gIkOGVjZGEzYWUtNzk1OC00NzU1LTlmYjktM2NmNTQzNjVjZDc12AIG4AIB&sid=13c6bd81d8e535df8a36f350cad09de7&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-05&checkout=2025-05-06&dest_id=-2324889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=dae688c2f2ff080e&srepoch=1743622032&all_sr_blocks=140287405_165948265_2_1_0&highlighted_blocks=140287405_165948265_2_1_0&matching_block_id=140287405_165948265_2_1_0&sr_pri_blocks=140287405_165948265_2_1_0__4000000&from=searchresults,"3701 Jermuk,Armenia","7/5 Shahumyan Street,",39.83910655,45.66637228,9.2,Wonderfulwonderful,718.0,0.1,"102, 128, 77, 153, 204, 102, 102, 128, 77, 153, 204, 102, 120, 146, 95, 171, 222, 120, 120, 146, 95, 171, 222, 120, 225, 250, 199, 276, 327, 225, 562, 588, 536, 613, 664, 562",230.75,From 3:00 PM to 3:30 PM,From 3:00 AM to 12:00 PM,"Free cancellationbefore May 3, 2025",Pets are allowed on request. Charges may apply.,"American Express, Visa, Mastercard, Maestro, Cash",5,"Terrace, Garden, Ping-pong, Pool table, Game room, Wine/ChampagneAdditional charge, Special diet meals (on request), Snack bar, Bar, Restaurant, Concierge, ATM on site, Baggage storage, Daily housekeeping, Ironing serviceAdditional charge, LaundryAdditional charge, Fax/Photocopying, Business center, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key card access, 24-hour security, Shared lounge/TV area, Designated smoking area, Air conditioning, Heating, Chapel/Shrine, Elevator, Family rooms, Hair/Beauty salon, Facilities for disabled guests, Airport shuttleAdditional charge, Non-smoking rooms, Room service, Open all year, All ages welcome, Locker rooms, Fitness classes, MassageAdditional charge, SpaAdditional charge, Fitness center, English, Russian",47,4,9.2,Wonderfulwonderful,718.0,9.6,9.5,9.7,9.2,9.2,72
3,Armenia Hotel,https://www.booking.com/hotel/am/armenia-wellness-spa-jermuk-2nd-building.html?label=gen173nr-1FCAEoggI46AdIM1gEaAeIAQGYAQm4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvTPx70GwAIB0gIkOGVjZGEzYWUtNzk1OC00NzU1LTlmYjktM2NmNTQzNjVjZDc12AIG4AIB&sid=13c6bd81d8e535df8a36f350cad09de7&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-05&checkout=2025-05-06&dest_id=-2324889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=dae688c2f2ff080e&srepoch=1743622032&all_sr_blocks=267503802_399677159_0_41_0&highlighted_blocks=267503802_399677159_0_41_0&matching_block_id=267503802_399677159_0_41_0&sr_pri_blocks=267503802_399677159_0_41_0__2500000&from=searchresults,"3701 Jermuk,Armenia","2 Myasnikyan Street,",39.83798348,45.66482803,9.1,Wonderfulwonderful,143.0,0.1,"64, 89, 51, 64",67.0,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore 2:00 PM on May 5, 2025",Pets are not allowed.,"American Express, Visa, Mastercard, Maestro, Discover, Cash",6,"Toilet paper, Towels, Bidet, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Bathtub, Shower, Linens, Wardrobe or closet, Walk-in closet, View, Balcony, Garden, Refrigerator, Socket near the bed, Sofa bed, Drying rack for clothing, Clothes rack, HikingAdditional charge, Pool table, Sofa, Flat-screen TV, Cable channels, Satellite channels, Telephone, TV, Fruit, Special diet meals (on request), Bar, Restaurant, ATM on site, Currency exchange, 24-hour front desk, Daily housekeeping, Ironing serviceAdditional charge, Dry cleaningAdditional charge, Laundry, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Key card access, Key access, 24-hour security, Safe, Shuttle serviceAdditional charge, Mosquito net, Wake-up service, Heating, Private entrance, Packed lunches, Carpeted, Elevator, Fan, Family rooms, Facilities for disabled guests, Airport shuttleAdditional charge, Non-smoking rooms, Upper floors accessible by elevator, Fitness, Fitness center, English, Russian",68,2,9.1,Wonderfulwonderful,143.0,9.5,9.7,9.7,9.2,9.3,6
4,Jermuk Verona Resort,https://www.booking.com/hotel/am/verona-resort.html?label=gen173nr-1FCAEoggI46AdIM1gEaAeIAQGYAQm4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvTPx70GwAIB0gIkOGVjZGEzYWUtNzk1OC00NzU1LTlmYjktM2NmNTQzNjVjZDc12AIG4AIB&sid=13c6bd81d8e535df8a36f350cad09de7&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-05&checkout=2025-05-06&dest_id=-2324889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=dae688c2f2ff080e&srepoch=1743622032&all_sr_blocks=112675415_335414411_2_1_0&highlighted_blocks=112675415_335414411_2_1_0&matching_block_id=112675415_335414411_2_1_0&sr_pri_blocks=112675415_335414411_2_1_0__2900000&from=searchresults,"3701 Jermuk,Armenia","Shaumyan Street 9/1,",39.84108614,45.66886246,8.7,Excellentexcellent,261.0,0.3,"74, 82, 92, 97",86.25,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore April 28, 2025",Pets are not allowed.,"Visa, Mastercard, Cash",3,"Toilet paper, Towels, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Linens, Wardrobe or closet, Landmark view, Mountain view, Garden view, View, Terrace, Garden, Electric kettle, Refrigerator, Socket near the bed, Clothes rack, Ski-in, ski-out access, Ski storage, Walking tours, Horseback ridingAdditional chargeOff-site, Hiking, Skiing, FishingAdditional chargeOff-site, Desk, Flat-screen TV, Cable channels, Satellite channels, Telephone, TV, Coffee house on site, FruitAdditional charge, Wine/ChampagneAdditional charge, Special diet meals (on request), Bar, Restaurant, Tea/Coffee maker, Street parking, Accessible parking, Invoice provided, Private check-in/out, Baggage storage, Tour desk, Express check-in/out, 24-hour front desk, Baby safety gates, Daily housekeeping, Ironing serviceAdditional charge, LaundryAdditional charge, Fax/PhotocopyingAdditional charge, Meeting/Banquet facilitiesAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Smoke alarms, Security alarm, Key access, 24-hour security, Shuttle serviceAdditional charge, Grocery deliveriesAdditional charge, Shared lounge/TV area, Hypoallergenic, Designated smoking area, Hypoallergenic room available, Mosquito net, Wake-up service, Heating, Soundproof, Packed lunches, Carpeted, Soundproof rooms, Family rooms, Facilities for disabled guests, Airport shuttleAdditional charge, Non-smoking rooms, Room service, Toilet with grab rails, Upper floors accessible by stairs only, Full-body massage, Hand massage, Head massage, Foot massage, Neck massage, Back massage, MassageAdditional charge, English, Russian",92,4,8.7,Excellentexcellent,261.0,8.8,8.8,9.5,8.3,9.0,9
5,Yeghevni Rest House,https://www.booking.com/hotel/am/rest-house-dzhermuk.html?label=gen173nr-1FCAEoggI46AdIM1gEaAeIAQGYAQm4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvTPx70GwAIB0gIkOGVjZGEzYWUtNzk1OC00NzU1LTlmYjktM2NmNTQzNjVjZDc12AIG4AIB&sid=13c6bd81d8e535df8a36f350cad09de7&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-05&checkout=2025-05-06&dest_id=-2324889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=dae688c2f2ff080e&srepoch=1743622032&all_sr_blocks=977524701_370062435_2_0_0&highlighted_blocks=977524701_370062435_2_0_0&matching_block_id=977524701_370062435_2_0_0&sr_pri_blocks=977524701_370062435_2_0_0__3300000&from=searchresults,"3701 Jermuk,Armenia","Антараин 13,",39.849422,45.68571472,9.6,Exceptionalexceptional,36.0,1.3,"84, 92, 104, 115, 123, 130, 138, 153",117.375,From 11:00 AM to 12:00 AM,From 11:30 AM to 4:00 PM,"Free cancellationbefore May 4, 2025",Free!Pets are allowed. No extra charges.,,0,"Toilet paper, Towels, Slippers, Private bathroom, Toilet, Hairdryer, Shower, Linens, Wardrobe or closet, Garden view, View, Outdoor fireplace, Picnic area, Outdoor furniture, Sun deck, BBQ facilities, Balcony, Terrace, Garden, Shared kitchen, Dining table, Kitchenware, Electric kettle, Refrigerator, Dining area, Flat-screen TV, Tea/Coffee maker, Shared lounge/TV area, Room service, Outdoor play equipment for kids, CCTV outside property, Air conditioning, Heating, Russian",34,1,9.6,Exceptionalexceptional,36.0,9.6,9.4,9.5,9.4,10.0,14
6,Nairi Hotel,https://www.booking.com/hotel/am/nairi.html?label=gen173nr-1FCAEoggI46AdIM1gEaAeIAQGYAQm4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvTPx70GwAIB0gIkOGVjZGEzYWUtNzk1OC00NzU1LTlmYjktM2NmNTQzNjVjZDc12AIG4AIB&sid=13c6bd81d8e535df8a36f350cad09de7&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-05&checkout=2025-05-06&dest_id=-2324889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=dae688c2f2ff080e&srepoch=1743622032&all_sr_blocks=106406802_382889593_2_1_0&highlighted_blocks=106406802_382889593_2_1_0&matching_block_id=106406802_382889593_2_1_0&sr_pri_blocks=106406802_382889593_2_1_0__3600000&from=searchresults,"3701 Jermuk,Armenia","Myasnikyan Sreet  7/1,",39.83784987,45.6748867,8.2,Very,126.0,0.6,"92, 131, 276, 64",140.75,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore April 21, 2025",Pets are allowed on request. Charges may apply.,,0,"Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Linens, Wardrobe or closet, Walk-in closet, View, Outdoor furniture, Terrace, Refrigerator, Socket near the bed, Clothes rack, Ski storage, Ping-pong, Pool table, Playground, Skiing, Tennis court, Desk, Flat-screen TV, Cable channels, Satellite channels, Telephone, TV, Bar, Minibar, Restaurant, Private check-in/out, 24-hour front desk, Outdoor play equipment for kids, Indoor play area, Board games/Puzzles, Daily housekeeping, Ironing serviceAdditional charge, LaundryAdditional charge, Fax/PhotocopyingAdditional charge, Fire extinguishers, CCTV outside property, CCTV in common areas, Key card access, Key access, 24-hour security, Safe, Shuttle serviceAdditional charge, Shared lounge/TV area, Designated smoking area, Wake-up service, Heating, Carpeted, Fan, Family rooms, Airport shuttleAdditional charge, Non-smoking rooms, Upper floors accessible by stairs only, Locker rooms, Fitness, Massage chair, Russian",65,4,8.2,Very,126.0,8.3,7.7,9.3,8.1,9.2,10
7,Квартира,https://www.booking.com/hotel/am/kvartira-jermuk2.html?label=gen173nr-1FCAEoggI46AdIM1gEaAeIAQGYAQm4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvTPx70GwAIB0gIkOGVjZGEzYWUtNzk1OC00NzU1LTlmYjktM2NmNTQzNjVjZDc12AIG4AIB&sid=13c6bd81d8e535df8a36f350cad09de7&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-05&checkout=2025-05-06&dest_id=-2324889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=dae688c2f2ff080e&srepoch=1743622032&all_sr_blocks=895840401_360145693_2_0_0&highlighted_blocks=895840401_360145693_2_0_0&matching_block_id=895840401_360145693_2_0_0&sr_pri_blocks=895840401_360145693_2_0_0__1900000&from=searchresults,"3701 Jermuk,Armenia","Jermuk shahumyan 4,",39.83358932,45.66629036,9.3,Wonderfulwonderful,17.0,0.4,"49, 51, 46",48.66666667,From 4:00 PM to 12:00 AM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are not allowed.,,0,"Electric vehicle charging station, Kitchen, Washing machine, Microwave, Refrigerator, Kitchenette, Toilet paper, Bathtub or shower, Slippers, Toilet, Free toiletries, Bathrobe, Hairdryer, Shower, Sofa, Sitting area, Flat-screen TV, Socket near the bed, Sofa bed, Soundproof, Heating, Balcony, Garden, Tea/Coffee maker, View, Child safety socket covers, Air conditioning, Smoke-free property, Family rooms, Non-smoking rooms, Carbon monoxide detector, English, Russian",33,1,9.3,Wonderfulwonderful,17.0,9.1,9.0,9.9,9.1,9.5,6
8,AAA Jermuk rest house,https://www.booking.com/hotel/am/aaa-jermuk-rest-house-dzhermuk.html?label=gen173nr-1FCAEoggI46AdIM1gEaAeIAQGYAQm4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvTPx70GwAIB0gIkOGVjZGEzYWUtNzk1OC00NzU1LTlmYjktM2NmNTQzNjVjZDc12AIG4AIB&sid=13c6bd81d8e535df8a36f350cad09de7&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-05&checkout=2025-05-06&dest_id=-2324889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=dae688c2f2ff080e&srepoch=1743622032&all_sr_blocks=746348202_368462828_2_0_0&highlighted_blocks=746348202_368462828_2_0_0&matching_block_id=746348202_368462828_2_0_0&sr_pri_blocks=746348202_368462828_2_0_0__2730000&from=searchresults,"3701 Jermuk,Armenia","улица Шаумяна 32/3,",39.84599431,45.68404552,9.4,Wonderfulwonderful,80.0,1.1,"70, 75, 86, 91, 107, 59, 74, 79, 89, 102, 112, 64",84.0,Available 24 hours,Available 24 hours,"Free cancellationbefore April 28, 2025",Free!Pets are allowed on request. No extra charges.,,0,"Dining table, Cleaning products, Stovetop, Kitchenware, Electric kettle, Kitchen, Washing machine, Microwave, Refrigerator, Linens, Wardrobe or closet, Walk-in closet, Toilet paper, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Dining area, Sofa, Fireplace, Sitting area, Flat-screen TV, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Clothes rack, Mosquito net, Hardwood or parquet floors, Tile/Marble floor, Soundproof, Private entrance, Ironing facilities, Iron, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, Sun deck, Barbecue, Balcony, Terrace, Garden, Chapel/Shrine, Seasonal(temporarily closed), All ages welcome, Beach chairs/Loungers, Beach chairs/Loungers, SaunaAdditional charge, Inner courtyard view, Mountain view, Garden view, View, Shuttle serviceAdditional charge, Airport shuttleAdditional charge, Outdoor play equipment for kids, Board games/Puzzles, Smoke-free property, Heating, Family rooms, Non-smoking rooms, Fire extinguishers, CCTV outside property, CCTV in common areas, Key access, Carbon monoxide detector, English, Armenian, Russian",73,1,9.4,Wonderfulwonderful,80.0,9.5,9.2,9.1,9.2,9.8,24
9,Jermuk Ararat Health SPA,https://www.booking.com/hotel/am/ararat-sanatorium-mother-and-child.html?label=gen173nr-1FCAEoggI46AdIM1gEaAeIAQGYAQm4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvTPx70GwAIB0gIkOGVjZGEzYWUtNzk1OC00NzU1LTlmYjktM2NmNTQzNjVjZDc12AIG4AIB&sid=13c6bd81d8e535df8a36f350cad09de7&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-05&checkout=2025-05-06&dest_id=-2324889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=dae688c2f2ff080e&srepoch=1743622032&all_sr_blocks=103730101_200931511_2_21_0&highlighted_blocks=103730101_200931511_2_21_0&matching_block_id=103730101_200931511_2_21_0&sr_pri_blocks=103730101_200931511_2_21_0__3000000&from=searchresults,"3701 Jermuk,Armenia","Shahumyan 18,",39.83947832,45.67013115,8.0,Very,70.0,0.3,"77, 84, 96, 108, 38, 42, 48, 54",68.375,From 2:00 PM,Until 12:00 PM,"Free cancellationbefore April 28, 2025",Pets are not allowed.,"Visa, Mastercard, Maestro, Cash",4,"Towels, Private bathroom, Toilet, Shower, Wardrobe or closet, Garden, Hiking, Ping-pongAdditional charge, Pool tableAdditional charge, Skiing, Special diet meals (on request), Bar, Restaurant, Street parking, Shuttle serviceAdditional charge, Daily housekeeping, Tour desk, Ironing serviceAdditional charge, Hair/Beauty salon, LaundryAdditional charge, Babysitting/Child servicesAdditional charge, 24-hour front desk, Smoke-free property, Heating, Carpeted, Elevator, Family rooms, Non-smoking rooms, Full-body massage, Hand massage, Head massage, Foot massage, Neck massage, Back massage, Spa facilities, Haircut, Beauty services, Hot tub/JacuzziAdditional charge, MassageAdditional charge, Spa, English, Russian",42,8,8.0,Very,70.0,8.3,8.3,9.5,7.9,9.1,12
10,Jermuk Apartment in the Center,https://www.booking.com/hotel/am/apartment-on-myasnikyan.html?label=gen173nr-1FCAEoggI46AdIM1gEaAeIAQGYAQm4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvTPx70GwAIB0gIkOGVjZGEzYWUtNzk1OC00NzU1LTlmYjktM2NmNTQzNjVjZDc12AIG4AIB&sid=13c6bd81d8e535df8a36f350cad09de7&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-05&checkout=2025-05-06&dest_id=-2324889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=dae688c2f2ff080e&srepoch=1743622032&all_sr_blocks=166182101_229845244_4_0_0&highlighted_blocks=166182101_229845244_4_0_0&matching_block_id=166182101_229845244_4_0_0&sr_pri_blocks=166182101_229845244_4_0_0__1900000&from=searchresults,"3701 Jermuk,Armenia","Myasnikyan Street, 4, Ap.5,",39.83745263,45.66630632,8.9,Excellentexcellent,54.0,0.2,49,49.0,From 1:30 PM,Until 12:00 PM,"Free cancellationbefore 6:00 PM on May 5, 2025",Pets are not allowed.,,0,"Street parking, Valet parking, Dining table, Cleaning products, Stovetop, Kitchenware, Electric kettle, Kitchen, Washing machine, Refrigerator, Kitchenette, Linens, Wardrobe or closet, Alarm clock, Toilet paper, Towels, Towels/Sheets (extra fee), Bathtub or shower, Private bathroom, Toilet, Free toiletries, Hairdryer, Shower, Dining area, Sofa, Sitting area, Desk, Flat-screen TV, Cable channels, Satellite channels, Video, DVD player, Radio, Telephone, TV, Socket near the bed, Sofa bed, Drying rack for clothing, Fold-up bed, Clothes rack, Mosquito net, Hardwood or parquet floors, Tile/Marble floor, Soundproof, Private entrance, Carpeted, Ironing facilities, Iron, Entire unit wheelchair accessible, Entire unit located on ground floor, Outdoor dining area, Terrace, Barbecue, BBQ facilities, Patio, Garden, Chapel/Shrine, Spa facilities, MassageAdditional charge, SpaAdditional charge, Fitness centerAdditional charge, Coffee house on site, Grocery deliveriesAdditional charge, Special diet meals (on request), Tea/Coffee maker, AerobicsAdditional chargeOff-site, Tour or class about local culture, Walking tours, Ski pass vendor, Ski rental on site, Ski storage, Horseback ridingAdditional chargeOff-site, CyclingOff-site, HikingOff-site, Skiing, FishingAdditional chargeOff-site, Inner courtyard view, City view, Landmark view, Mountain view, View, Detached, Bicycle rentalAdditional charge, Shuttle serviceAdditional charge, Public transit ticketsAdditional charge, Airport shuttleAdditional charge, Private check-in/out, ATM on site, Tour desk, Express check-in/out, 24-hour front desk, Baby safety gates, Books, DVDs or music for children, Child safety socket covers, Convenience store on site, Designated smoking area, Heating, Soundproof rooms, Family rooms, Facilities for disabled guests, CCTV outside property, CCTV in common areas, Smoke alarms, English, Armenian, Russian",107,1,8.9,Excellentexcellent,54.0,9.1,8.4,9.4,9.2,9.3,4
11,Arte Jermuk Cottages,https://www.booking.com/hotel/am/arte-jermuk-cottages.html?label=gen173nr-1FCAEoggI46AdIM1gEaAeIAQGYAQm4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvTPx70GwAIB0gIkOGVjZGEzYWUtNzk1OC00NzU1LTlmYjktM2NmNTQzNjVjZDc12AIG4AIB&sid=13c6bd81d8e535df8a36f350cad09de7&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-05&checkout=2025-05-06&dest_id=-2324889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=dae688c2f2ff080e&srepoch=1743622032&all_sr_blocks=1069103601_401663333_2_0_0&highlighted_blocks=1069103601_401663333_2_0_0&matching_block_id=1069103601_401663333_2_0_0&sr_pri_blocks=1069103601_401663333_2_0_0__4300000&from=searchresults,"3702 Jermuk,Armenia","Shahumyan Street,",39.84550757,45.68178069,10.0,Exceptionalexceptional,5.0,1.0,"110, 120, 130, 140",125.0,From 2:00 PM to 6:00 PM,From 11:00 AM to 12:00 PM,"Free cancellationbefore May 3, 2025",Pets are not allowed.,,0,"Dining table, Electric kettle, Refrigerator, Kitchenette, Towels, Bathtub or shower, Slippers, Private bathroom, Toilet, Free toiletries, Hairdryer, Bathtub, Sitting area, Flat-screen TV, Cable channels, TV, Socket near the bed, Sofa bed, Private entrance, Upper floors accessible by stairs only, Outdoor fireplace, Picnic area, Outdoor furniture, Outdoor dining area, BBQ facilities, Patio, Balcony, Terrace, Garden, Tea/Coffee maker, Mountain view, Garden view, View, Board games/Puzzles, Books, DVDs or music for children, Air conditioning, Smoke-free property, Heating, Family rooms, CCTV outside property, English, Armenian, Russian",44,1,10.0,Exceptionalexceptional,5.0,10.0,10.0,10.0,9.5,10.0,10
12,Двухкомнатная квартира,https://www.booking.com/hotel/am/dvukhkomnatnaia-kvartira-jermuk.html?label=gen173nr-1FCAEoggI46AdIM1gEaAeIAQGYAQm4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvTPx70GwAIB0gIkOGVjZGEzYWUtNzk1OC00NzU1LTlmYjktM2NmNTQzNjVjZDc12AIG4AIB&sid=13c6bd81d8e535df8a36f350cad09de7&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-05&checkout=2025-05-06&dest_id=-2324889&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=dae688c2f2ff080e&srepoch=1743622032&all_sr_blocks=1373099501_409479072_6_0_0&highlighted_blocks=1373099501_409479072_6_0_0&matching_block_id=1373099501_409479072_6_0_0&sr_pri_blocks=1373099501_409479072_6_0_0__1700000&from=searchresults,"3701 Jermuk,Armenia","14 Myasnikyan Street,",39.8357194,45.666487,9.0,Wonderfulwonderful,1.0,0.3,"43, 48, 47, 46, 46, 49, 51",47.14285714,From 2:00 PM to 8:00 PM,From 8:00 AM to 12:00 PM,"Free cancellationbefore May 4, 2025",Pets are allowed. Charges may apply.,,0,"Electric vehicle charging station, Kitchen, Washing machine, Flat-screen TV, Heating, Garden view, View, Air conditioning, Smoke-free property, English, Russian",11,1,9.0,Wonderfulwonderful,1.0,7.5,7.5,10.0,7.5,7.5,13
